Gene	Gene description	Concentration
SCAMP2	Secretory carrier membrane protein 2	71 ng/L
ABHD10	Abhydrolase domain containing 10, depalmitoylase	71 ng/L
MYOZ1	Myozenin 1	71 ng/L
EIF3I	Eukaryotic translation initiation factor 3 subunit I	70 ng/L
OSBP	Oxysterol binding protein	70 ng/L
METAP2	Methionyl aminopeptidase 2	70 ng/L
COPZ1	COPI coat complex subunit zeta 1	70 ng/L
DLST	Dihydrolipoamide S-succinyltransferase	70 ng/L
ATP5F1C	ATP synthase F1 subunit gamma	70 ng/L
PUF60	Poly(U) binding splicing factor 60	70 ng/L
DNM3	Dynamin 3	70 ng/L
IPO9	Importin 9	70 ng/L
AMACR	Alpha-methylacyl-CoA racemase	70 ng/L
AGPS	Alkylglycerone phosphate synthase	69 ng/L
CACNA2D3	Calcium voltage-gated channel auxiliary subunit alpha2delta 3	69 ng/L
PSMD4	Proteasome 26S subunit, non-ATPase 4	69 ng/L
HJV	Hemojuvelin BMP co-receptor	69 ng/L
UROS	Uroporphyrinogen III synthase	69 ng/L
EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	68 ng/L
MSR1	Macrophage scavenger receptor 1	67 ng/L
DNAJA2	DnaJ heat shock protein family (Hsp40) member A2	67 ng/L
CBL	Cbl proto-oncogene	67 ng/L
KIAA0513	KIAA0513	67 ng/L
UBAP2L	Ubiquitin associated protein 2 like	67 ng/L
SAFB	Scaffold attachment factor B	67 ng/L
AGR3	Anterior gradient 3, protein disulphide isomerase family member	67 ng/L
CAMK2A	Calcium/calmodulin dependent protein kinase II alpha	66 ng/L
RPS16	Ribosomal protein S16	66 ng/L
COPE	COPI coat complex subunit epsilon	66 ng/L
SETBP1	SET binding protein 1	66 ng/L
ADPGK	ADP dependent glucokinase	66 ng/L
RPRD2	Regulation of nuclear pre-mRNA domain containing 2	66 ng/L
CUL3	Cullin 3	65 ng/L
EPS15	Epidermal growth factor receptor pathway substrate 15	65 ng/L
KAZALD1	Kazal type serine peptidase inhibitor domain 1	65 ng/L
AGO2	Argonaute RISC catalytic component 2	65 ng/L
SURF4	Surfeit 4	65 ng/L
NUDT2	Nudix hydrolase 2	65 ng/L
CLPX	Caseinolytic mitochondrial matrix peptidase chaperone subunit X	65 ng/L
ENTPD7	Ectonucleoside triphosphate diphosphohydrolase 7	65 ng/L
ITGB5	Integrin subunit beta 5	64 ng/L
GTPBP1	GTP binding protein 1	64 ng/L
NLN	Neurolysin	64 ng/L
EIF3G	Eukaryotic translation initiation factor 3 subunit G	64 ng/L
GLIPR1	GLI pathogenesis related 1	64 ng/L
DMP1	Dentin matrix acidic phosphoprotein 1	64 ng/L
ACP6	Acid phosphatase 6, lysophosphatidic	64 ng/L
RPS9	Ribosomal protein S9	64 ng/L
DCC	DCC netrin 1 receptor	64 ng/L
MIA	MIA SH3 domain containing	64 ng/L
FUBP3	Far upstream element binding protein 3	63 ng/L
RAB32	RAB32, member RAS oncogene family	63 ng/L
FKBP9	FKBP prolyl isomerase 9	63 ng/L
VPS28	VPS28 subunit of ESCRT-I	63 ng/L
OPRPN	Opiorphin prepropeptide	63 ng/L
CCL19	C-C motif chemokine ligand 19	63 ng/L
CSRP2	Cysteine and glycine rich protein 2	63 ng/L
COPB2	COPI coat complex subunit beta 2	63 ng/L
SMPX	Small muscle protein X-linked	62 ng/L
CPXM2	Carboxypeptidase X, M14 family member 2	62 ng/L
TRA2B	Transformer 2 beta homolog	62 ng/L
NUMA1	Nuclear mitotic apparatus protein 1	62 ng/L
RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1	62 ng/L
UFC1	Ubiquitin-fold modifier conjugating enzyme 1	62 ng/L
SSR2	Signal sequence receptor subunit 2	62 ng/L
AP1G1	Adaptor related protein complex 1 subunit gamma 1	62 ng/L
MFF	Mitochondrial fission factor	62 ng/L
VPREB1	V-set pre-B cell surrogate light chain 1	62 ng/L
IL17RA	Interleukin 17 receptor A	62 ng/L
AKR1D1	Aldo-keto reductase family 1 member D1	61 ng/L
HADHB	Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta	61 ng/L
FABP2	Fatty acid binding protein 2	61 ng/L
CD320	CD320 molecule	61 ng/L
PDHB	Pyruvate dehydrogenase E1 subunit beta	61 ng/L
DCTPP1	DCTP pyrophosphatase 1	61 ng/L
AP2A1	Adaptor related protein complex 2 subunit alpha 1	61 ng/L
NCKAP1	NCK associated protein 1	60 ng/L
POFUT1	Protein O-fucosyltransferase 1	60 ng/L
P4HA1	Prolyl 4-hydroxylase subunit alpha 1	60 ng/L
ATP5PD	ATP synthase peripheral stalk subunit d	60 ng/L
PAIP1	Poly(A) binding protein interacting protein 1	60 ng/L
KRTAP13-4	Keratin associated protein 13-4	60 ng/L
ATP5MF	ATP synthase membrane subunit f	60 ng/L
THRAP3	Thyroid hormone receptor associated protein 3	59 ng/L
NSF	N-ethylmaleimide sensitive factor, vesicle fusing ATPase	59 ng/L
LAMP3	Lysosomal associated membrane protein 3	59 ng/L
RPL28	Ribosomal protein L28	59 ng/L
CRACD	Capping protein inhibiting regulator of actin dynamics	59 ng/L
TIMM8A	Translocase of inner mitochondrial membrane 8A	59 ng/L
BTF3L4	Basic transcription factor 3 like 4	59 ng/L
AMOTL1	Angiomotin like 1	59 ng/L
EWSR1	EWS RNA binding protein 1	59 ng/L
SERPINB10	Serpin family B member 10	59 ng/L
NRDC	Nardilysin convertase	58 ng/L
TNR	Tenascin R	58 ng/L
ALDH4A1	Aldehyde dehydrogenase 4 family member A1	58 ng/L
FREM1	FRAS1 related extracellular matrix 1	58 ng/L
QARS1	Glutaminyl-tRNA synthetase 1	58 ng/L
CNTN2	Contactin 2	58 ng/L
ATL3	Atlastin GTPase 3	58 ng/L
CD2AP	CD2 associated protein	58 ng/L
CTNNA1	Catenin alpha 1	57 ng/L
GALK1	Galactokinase 1	57 ng/L
VEGFA	Vascular endothelial growth factor A	57 ng/L
TNNT2	Troponin T2, cardiac type	57 ng/L
COPG1	COPI coat complex subunit gamma 1	57 ng/L
SF3A3	Splicing factor 3a subunit 3	57 ng/L
TSTD1	Thiosulfate sulfurtransferase like domain containing 1	57 ng/L
ERVH48-1	Endogenous retrovirus group 48 member 1	57 ng/L
DAPP1	Dual adaptor of phosphotyrosine and 3-phosphoinositides 1	56 ng/L
ECHDC1	Ethylmalonyl-CoA decarboxylase 1	56 ng/L
KTN1	Kinectin 1	55 ng/L
COX4I1	Cytochrome c oxidase subunit 4I1	55 ng/L
TTYH3	Tweety family member 3	55 ng/L
TMEM108	Transmembrane protein 108	55 ng/L
CDHR1	Cadherin related family member 1	55 ng/L
MAP1A	Microtubule associated protein 1A	55 ng/L
PLIN4	Perilipin 4	55 ng/L
STAT3	Signal transducer and activator of transcription 3	55 ng/L
CHST11	Carbohydrate sulfotransferase 11	55 ng/L
ATP5MD	ATP synthase membrane subunit DAPIT	55 ng/L
MSRA	Methionine sulfoxide reductase A	55 ng/L
FARSA	Phenylalanyl-tRNA synthetase subunit alpha	55 ng/L
MMP1	Matrix metallopeptidase 1	55 ng/L
GTF2I	General transcription factor IIi	55 ng/L
EPB41L2	Erythrocyte membrane protein band 4.1 like 2	54 ng/L
COPS7A	COP9 signalosome subunit 7A	54 ng/L
ADPRS	ADP-ribosylserine hydrolase	54 ng/L
HS1BP3	HCLS1 binding protein 3	54 ng/L
CNRIP1	Cannabinoid receptor interacting protein 1	54 ng/L
C5orf46	Chromosome 5 open reading frame 46	54 ng/L
MBP	Myelin basic protein	54 ng/L
ERVW-1	Endogenous retrovirus group W member 1, envelope	54 ng/L
GALC	Galactosylceramidase	53 ng/L
CHMP4B	Charged multivesicular body protein 4B	53 ng/L
XPO7	Exportin 7	53 ng/L
PLVAP	Plasmalemma vesicle associated protein	53 ng/L
RUVBL2	RuvB like AAA ATPase 2	53 ng/L
CA12	Carbonic anhydrase 12	52 ng/L
ALDH3A1	Aldehyde dehydrogenase 3 family member A1	52 ng/L
APIP	APAF1 interacting protein	52 ng/L
COL24A1	Collagen type XXIV alpha 1 chain	52 ng/L
TDRP	Testis development related protein	52 ng/L
SPESP1	Sperm equatorial segment protein 1	52 ng/L
ABCF2	ATP binding cassette subfamily F member 2	51 ng/L
SLC7A5	Solute carrier family 7 member 5	51 ng/L
TFPI2	Tissue factor pathway inhibitor 2	51 ng/L
TYRP1	Tyrosinase related protein 1	51 ng/L
GMPPA	GDP-mannose pyrophosphorylase A	51 ng/L
CBR4	Carbonyl reductase 4	51 ng/L
OTOA	Otoancorin	51 ng/L
FUT6	Fucosyltransferase 6	51 ng/L
CDK1	Cyclin dependent kinase 1	51 ng/L
ABCF2-H2BE1	ABCF2-H2BE1 readthrough	51 ng/L
ZMPSTE24	Zinc metallopeptidase STE24	50 ng/L
TREM2	Triggering receptor expressed on myeloid cells 2	50 ng/L
GMPR2	Guanosine monophosphate reductase 2	50 ng/L
ALDH5A1	Aldehyde dehydrogenase 5 family member A1	50 ng/L
RO60	Ro60, Y RNA binding protein	50 ng/L
SRSF6	Serine and arginine rich splicing factor 6	50 ng/L
ITGAX	Integrin subunit alpha X	50 ng/L
GCSH	Glycine cleavage system protein H	50 ng/L
GMPS	Guanine monophosphate synthase	50 ng/L
NDUFA4	NDUFA4 mitochondrial complex associated	50 ng/L
SF3B3	Splicing factor 3b subunit 3	50 ng/L
CORO7	Coronin 7	50 ng/L
MILR1	Mast cell immunoglobulin like receptor 1	50 ng/L
ALOX12	Arachidonate 12-lipoxygenase, 12S type	49 ng/L
ACTR1B	Actin related protein 1B	49 ng/L
L3HYPDH	Trans-L-3-hydroxyproline dehydratase	49 ng/L
UBE2M	Ubiquitin conjugating enzyme E2 M	49 ng/L
SRSF10	Serine and arginine rich splicing factor 10	49 ng/L
CD47	CD47 molecule	49 ng/L
AQP1	Aquaporin 1 (Colton blood group)	49 ng/L
MRPL12	Mitochondrial ribosomal protein L12	49 ng/L
SYN1	Synapsin I	48 ng/L
NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1	48 ng/L
ALDH18A1	Aldehyde dehydrogenase 18 family member A1	48 ng/L
RTRAF	RNA transcription, translation and transport factor	48 ng/L
IGBP1	Immunoglobulin binding protein 1	48 ng/L
EIF4G2	Eukaryotic translation initiation factor 4 gamma 2	48 ng/L
UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1	48 ng/L
SAFB2	Scaffold attachment factor B2	48 ng/L
SNRPA1	Small nuclear ribonucleoprotein polypeptide A'	48 ng/L
SDSL	Serine dehydratase like	48 ng/L
SEC16A	SEC16 homolog A, endoplasmic reticulum export factor	48 ng/L
RFESD	Rieske Fe-S domain containing	48 ng/L
ASNS	Asparagine synthetase (glutamine-hydrolyzing)	47 ng/L
TNS1	Tensin 1	47 ng/L
PDCD5	Programmed cell death 5	47 ng/L
GALNT12	Polypeptide N-acetylgalactosaminyltransferase 12	47 ng/L
MYBBP1A	MYB binding protein 1a	47 ng/L
G3BP2	G3BP stress granule assembly factor 2	47 ng/L
SNRPF	Small nuclear ribonucleoprotein polypeptide F	47 ng/L
TACC1	Transforming acidic coiled-coil containing protein 1	47 ng/L
ANO6	Anoctamin 6	47 ng/L
RCC1	Regulator of chromosome condensation 1	47 ng/L
MANEAL	Mannosidase endo-alpha like	47 ng/L
KLRK1	Killer cell lectin like receptor K1	47 ng/L
MAPK3	Mitogen-activated protein kinase 3	46 ng/L
NUP214	Nucleoporin 214	46 ng/L
DOCK2	Dedicator of cytokinesis 2	46 ng/L
IGF1R	Insulin like growth factor 1 receptor	46 ng/L
MYO1F	Myosin IF	46 ng/L
BMP6	Bone morphogenetic protein 6	46 ng/L
GAPVD1	GTPase activating protein and VPS9 domains 1	46 ng/L
CNP	2',3'-cyclic nucleotide 3' phosphodiesterase	46 ng/L
RYR1	Ryanodine receptor 1	46 ng/L
SUCO	SUN domain containing ossification factor	45 ng/L
PRMT5	Protein arginine methyltransferase 5	45 ng/L
STK4	Serine/threonine kinase 4	45 ng/L
CPT1A	Carnitine palmitoyltransferase 1A	45 ng/L
TOMM40	Translocase of outer mitochondrial membrane 40	45 ng/L
APPL2	Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2	45 ng/L
IL1RN	Interleukin 1 receptor antagonist	45 ng/L
RPL32	Ribosomal protein L32	45 ng/L
UBXN1	UBX domain protein 1	45 ng/L
IRGQ	Immunity related GTPase Q	45 ng/L
CYC1	Cytochrome c1	45 ng/L
HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	45 ng/L
PPME1	Protein phosphatase methylesterase 1	45 ng/L
EIF2AK2	Eukaryotic translation initiation factor 2 alpha kinase 2	44 ng/L
TOM1	Target of myb1 membrane trafficking protein	44 ng/L
MCM5	Minichromosome maintenance complex component 5	44 ng/L
RPL18A	Ribosomal protein L18a	44 ng/L
PPY	Pancreatic polypeptide	44 ng/L
HDDC2	HD domain containing 2	44 ng/L
RPL24	Ribosomal protein L24	44 ng/L
POGLUT2	Protein O-glucosyltransferase 2	44 ng/L
ARL3	ADP ribosylation factor like GTPase 3	44 ng/L
SUOX	Sulfite oxidase	44 ng/L
CUL4A	Cullin 4A	44 ng/L
FN3KRP	Fructosamine 3 kinase related protein	44 ng/L
RPL13A	Ribosomal protein L13a	44 ng/L
COPS7B	COP9 signalosome subunit 7B	44 ng/L
DLAT	Dihydrolipoamide S-acetyltransferase	44 ng/L
ACSL1	Acyl-CoA synthetase long chain family member 1	44 ng/L
LY6E	Lymphocyte antigen 6 family member E	44 ng/L
FRZB	Frizzled related protein	44 ng/L
STOML2	Stomatin like 2	44 ng/L
JAM3	Junctional adhesion molecule 3	44 ng/L
NOLC1	Nucleolar and coiled-body phosphoprotein 1	44 ng/L
ATP5MG	ATP synthase membrane subunit g	44 ng/L
GSDMA	Gasdermin A	44 ng/L
EIF4EBP1	Eukaryotic translation initiation factor 4E binding protein 1	44 ng/L
TAF15	TATA-box binding protein associated factor 15	44 ng/L
UBA5	Ubiquitin like modifier activating enzyme 5	43 ng/L
COMT	Catechol-O-methyltransferase	43 ng/L
SF3A2	Splicing factor 3a subunit 2	43 ng/L
C1GALT1	Core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1	43 ng/L
LY9	Lymphocyte antigen 9	43 ng/L
CAPRIN1	Cell cycle associated protein 1	43 ng/L
TPPP3	Tubulin polymerization promoting protein family member 3	43 ng/L
PPP1R11	Protein phosphatase 1 regulatory inhibitor subunit 11	43 ng/L
ELFN1	Extracellular leucine rich repeat and fibronectin type III domain containing 1	43 ng/L
RMDN3	Regulator of microtubule dynamics 3	42 ng/L
SSRP1	Structure specific recognition protein 1	42 ng/L
PPP3R1	Protein phosphatase 3 regulatory subunit B, alpha	42 ng/L
DHRS11	Dehydrogenase/reductase 11	42 ng/L
RBP1	Retinol binding protein 1	41 ng/L
VPS26A	VPS26, retromer complex component A	41 ng/L
SARAF	Store-operated calcium entry associated regulatory factor	41 ng/L
PRUNE1	Prune exopolyphosphatase 1	41 ng/L
GP2	Glycoprotein 2	41 ng/L
GON7	GON7 subunit of KEOPS complex	41 ng/L
ENTPD6	Ectonucleoside triphosphate diphosphohydrolase 6	41 ng/L
HMGN5	High mobility group nucleosome binding domain 5	41 ng/L
TRABD2B	TraB domain containing 2B	41 ng/L
CTPS2	CTP synthase 2	40 ng/L
PICALM	Phosphatidylinositol binding clathrin assembly protein	40 ng/L
RBBP9	RB binding protein 9, serine hydrolase	40 ng/L
ATXN10	Ataxin 10	40 ng/L
GALNT15	Polypeptide N-acetylgalactosaminyltransferase 15	40 ng/L
TINAG	Tubulointerstitial nephritis antigen	40 ng/L
SEC31A	SEC31 homolog A, COPII coat complex component	40 ng/L
SBSPON	Somatomedin B and thrombospondin type 1 domain containing	40 ng/L
DDX21	DExD-box helicase 21	40 ng/L
PAH	Phenylalanine hydroxylase	40 ng/L
C1QTNF1	C1q and TNF related 1	40 ng/L
AHNAK2	AHNAK nucleoprotein 2	40 ng/L
JPT1	Jupiter microtubule associated homolog 1	40 ng/L
CNOT3	CCR4-NOT transcription complex subunit 3	39 ng/L
FKBP5	FKBP prolyl isomerase 5	39 ng/L
ERBIN	Erbb2 interacting protein	39 ng/L
NRBP1	Nuclear receptor binding protein 1	39 ng/L
PCDHB14	Protocadherin beta 14	39 ng/L
COX7C	Cytochrome c oxidase subunit 7C	39 ng/L
TPMT	Thiopurine S-methyltransferase	39 ng/L
RPS11	Ribosomal protein S11	39 ng/L
ITPKB	Inositol-trisphosphate 3-kinase B	39 ng/L
BUB3	BUB3 mitotic checkpoint protein	39 ng/L
AK4	Adenylate kinase 4	39 ng/L
VWC2	Von Willebrand factor C domain containing 2	39 ng/L
DNAJC9	DnaJ heat shock protein family (Hsp40) member C9	39 ng/L
PTPRN	Protein tyrosine phosphatase receptor type N	38 ng/L
ARHGAP15	Rho GTPase activating protein 15	38 ng/L
PCNP	PEST proteolytic signal containing nuclear protein	38 ng/L
HSPB11	Heat shock protein family B (small) member 11	38 ng/L
ITGAE	Integrin subunit alpha E	38 ng/L
NUP93	Nucleoporin 93	38 ng/L
AGR2	Anterior gradient 2, protein disulphide isomerase family member	38 ng/L
AMPD1	Adenosine monophosphate deaminase 1	38 ng/L
EBNA1BP2	EBNA1 binding protein 2	38 ng/L
AP3B1	Adaptor related protein complex 3 subunit beta 1	38 ng/L
RTCA	RNA 3'-terminal phosphate cyclase	38 ng/L
COPS3	COP9 signalosome subunit 3	38 ng/L
EIF3H	Eukaryotic translation initiation factor 3 subunit H	38 ng/L
GMPPB	GDP-mannose pyrophosphorylase B	38 ng/L
NUDT16	Nudix hydrolase 16	38 ng/L
ALDH6A1	Aldehyde dehydrogenase 6 family member A1	37 ng/L
COPS5	COP9 signalosome subunit 5	37 ng/L
ACSL3	Acyl-CoA synthetase long chain family member 3	37 ng/L
SEC61G	SEC61 translocon subunit gamma	37 ng/L
SAE1	SUMO1 activating enzyme subunit 1	37 ng/L
PDGFC	Platelet derived growth factor C	37 ng/L
LACTB2	Lactamase beta 2	37 ng/L
YIF1B	Yip1 interacting factor homolog B, membrane trafficking protein	37 ng/L
NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1	37 ng/L
GNG5	G protein subunit gamma 5	37 ng/L
ACADSB	Acyl-CoA dehydrogenase short/branched chain	37 ng/L
GET3	Guided entry of tail-anchored proteins factor 3, ATPase	37 ng/L
ITGBL1	Integrin subunit beta like 1	37 ng/L
ABHD16A	Abhydrolase domain containing 16A, phospholipase	37 ng/L
BPIFB2	BPI fold containing family B member 2	36 ng/L
EIF3D	Eukaryotic translation initiation factor 3 subunit D	36 ng/L
GIT1	GIT ArfGAP 1	36 ng/L
TSNAX	Translin associated factor X	36 ng/L
PTGR2	Prostaglandin reductase 2	36 ng/L
SF3B4	Splicing factor 3b subunit 4	36 ng/L
TMX3	Thioredoxin related transmembrane protein 3	36 ng/L
TCAP	Titin-cap	36 ng/L
PHYHD1	Phytanoyl-CoA dioxygenase domain containing 1	36 ng/L
TMED9	Transmembrane p24 trafficking protein 9	36 ng/L
ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	36 ng/L
S100A13	S100 calcium binding protein A13	36 ng/L
HTT	Huntingtin	36 ng/L
GINM1	Glycoprotein integral membrane 1	35 ng/L
IARS2	Isoleucyl-tRNA synthetase 2, mitochondrial	35 ng/L
SNRPA	Small nuclear ribonucleoprotein polypeptide A	35 ng/L
PIR	Pirin	35 ng/L
AIMP2	Aminoacyl tRNA synthetase complex interacting multifunctional protein 2	35 ng/L
PLA2G4A	Phospholipase A2 group IVA	35 ng/L
CRISP1	Cysteine rich secretory protein 1	35 ng/L
BBOX1	Gamma-butyrobetaine hydroxylase 1	35 ng/L
B4GALNT1	Beta-1,4-N-acetyl-galactosaminyltransferase 1	35 ng/L
MMP7	Matrix metallopeptidase 7	35 ng/L
UBA3	Ubiquitin like modifier activating enzyme 3	35 ng/L
SEC13	SEC13 homolog, nuclear pore and COPII coat complex component	35 ng/L
TNFSF13	TNF superfamily member 13	35 ng/L
AIMP1	Aminoacyl tRNA synthetase complex interacting multifunctional protein 1	35 ng/L
GAP43	Growth associated protein 43	35 ng/L
CTNNBIP1	Catenin beta interacting protein 1	35 ng/L
RTN4RL1	Reticulon 4 receptor like 1	35 ng/L
GAL3ST4	Galactose-3-O-sulfotransferase 4	35 ng/L
NCAPD2	Non-SMC condensin I complex subunit D2	34 ng/L
BZW1	Basic leucine zipper and W2 domains 1	34 ng/L
SPOCK2	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2	34 ng/L
HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase	34 ng/L
RPL21	Ribosomal protein L21	34 ng/L
DKC1	Dyskerin pseudouridine synthase 1	34 ng/L
ATP6V1E1	ATPase H+ transporting V1 subunit E1	34 ng/L
TES	Testin LIM domain protein	34 ng/L
PLPBP	Pyridoxal phosphate binding protein	34 ng/L
TMEM43	Transmembrane protein 43	34 ng/L
OPLAH	5-oxoprolinase, ATP-hydrolysing	34 ng/L
SNRPE	Small nuclear ribonucleoprotein polypeptide E	34 ng/L
ATP1B3	ATPase Na+/K+ transporting subunit beta 3	33 ng/L
SMC1A	Structural maintenance of chromosomes 1A	33 ng/L
MCM6	Minichromosome maintenance complex component 6	33 ng/L
EPB41L1	Erythrocyte membrane protein band 4.1 like 1	33 ng/L
MYOM1	Myomesin 1	33 ng/L
NCKAP1L	NCK associated protein 1 like	33 ng/L
EPHA5	EPH receptor A5	33 ng/L
ATG7	Autophagy related 7	33 ng/L
CREB3L3	CAMP responsive element binding protein 3 like 3	32 ng/L
COL17A1	Collagen type XVII alpha 1 chain	32 ng/L
ALDH3A2	Aldehyde dehydrogenase 3 family member A2	32 ng/L
SRRT	Serrate, RNA effector molecule	32 ng/L
STRN4	Striatin 4	32 ng/L
VPS4B	Vacuolar protein sorting 4 homolog B	32 ng/L
SLIRP	SRA stem-loop interacting RNA binding protein	32 ng/L
ADGRB2	Adhesion G protein-coupled receptor B2	32 ng/L
TACC2	Transforming acidic coiled-coil containing protein 2	32 ng/L
ADGRG1	Adhesion G protein-coupled receptor G1	32 ng/L
ABHD11	Abhydrolase domain containing 11	31 ng/L
DUT	Deoxyuridine triphosphatase	31 ng/L
AK3	Adenylate kinase 3	31 ng/L
INPP1	Inositol polyphosphate-1-phosphatase	31 ng/L
ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1	31 ng/L
NBEAL2	Neurobeachin like 2	31 ng/L
API5	Apoptosis inhibitor 5	31 ng/L
VSTM2A	V-set and transmembrane domain containing 2A	31 ng/L
SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	31 ng/L
PSAPL1	Prosaposin like 1	31 ng/L
NUP62	Nucleoporin 62	31 ng/L
RBM14	RNA binding motif protein 14	31 ng/L
ACIN1	Apoptotic chromatin condensation inducer 1	30 ng/L
HP1BP3	Heterochromatin protein 1 binding protein 3	30 ng/L
NADK2	NAD kinase 2, mitochondrial	30 ng/L
GYG1	Glycogenin 1	30 ng/L
PRKCD	Protein kinase C delta	30 ng/L
LSM6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated	30 ng/L
LSM3	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated	30 ng/L
ABLIM3	Actin binding LIM protein family member 3	30 ng/L
NPLOC4	NPL4 homolog, ubiquitin recognition factor	30 ng/L
C6orf58	Chromosome 6 open reading frame 58	30 ng/L
MSMP	Microseminoprotein, prostate associated	30 ng/L
PPP2R5D	Protein phosphatase 2 regulatory subunit B'delta	29 ng/L
TARDBP	TAR DNA binding protein	29 ng/L
MCEE	Methylmalonyl-CoA epimerase	29 ng/L
PPP1R12C	Protein phosphatase 1 regulatory subunit 12C	29 ng/L
LRRC47	Leucine rich repeat containing 47	29 ng/L
MPRIP	Myosin phosphatase Rho interacting protein	29 ng/L
ITM2C	Integral membrane protein 2C	29 ng/L
STXBP1	Syntaxin binding protein 1	29 ng/L
PADI4	Peptidyl arginine deiminase 4	29 ng/L
DPY30	Dpy-30 histone methyltransferase complex regulatory subunit	29 ng/L
ACOX2	Acyl-CoA oxidase 2	29 ng/L
SEPHS2	Selenophosphate synthetase 2	29 ng/L
ACBD3	Acyl-CoA binding domain containing 3	29 ng/L
CRIP1	Cysteine rich protein 1	29 ng/L
MDP1	Magnesium dependent phosphatase 1	29 ng/L
MAP2K3	Mitogen-activated protein kinase kinase 3	28 ng/L
AP3D1	Adaptor related protein complex 3 subunit delta 1	28 ng/L
SNAP91	Synaptosome associated protein 91	28 ng/L
IDI1	Isopentenyl-diphosphate delta isomerase 1	28 ng/L
MSH2	MutS homolog 2	28 ng/L
SH3GLB1	SH3 domain containing GRB2 like, endophilin B1	28 ng/L
SNU13	Small nuclear ribonucleoprotein 13	28 ng/L
RPRD1B	Regulation of nuclear pre-mRNA domain containing 1B	28 ng/L
NUP155	Nucleoporin 155	28 ng/L
FARSB	Phenylalanyl-tRNA synthetase subunit beta	28 ng/L
ITFG1	Integrin alpha FG-GAP repeat containing 1	28 ng/L
ADRM1	Adhesion regulating molecule 1	28 ng/L
WDR61	WD repeat domain 61	28 ng/L
LUC7L2	LUC7 like 2, pre-mRNA splicing factor	28 ng/L
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	28 ng/L
B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	28 ng/L
SLITRK6	SLIT and NTRK like family member 6	28 ng/L
U2AF1L5	U2 small nuclear RNA auxiliary factor 1 like 5	28 ng/L
SUPT16H	SPT16 homolog, facilitates chromatin remodeling subunit	27 ng/L
TMEM59	Transmembrane protein 59	27 ng/L
HAT1	Histone acetyltransferase 1	27 ng/L
PALLD	Palladin, cytoskeletal associated protein	27 ng/L
IGF2BP3	Insulin like growth factor 2 mRNA binding protein 3	27 ng/L
MGST3	Microsomal glutathione S-transferase 3	27 ng/L
SCRN3	Secernin 3	27 ng/L
GPC3	Glypican 3	27 ng/L
DSPP	Dentin sialophosphoprotein	27 ng/L
GALNT14	Polypeptide N-acetylgalactosaminyltransferase 14	27 ng/L
PYM1	PYM homolog 1, exon junction complex associated factor	27 ng/L
MYADM	Myeloid associated differentiation marker	27 ng/L
GAS1	Growth arrest specific 1	27 ng/L
CA13	Carbonic anhydrase 13	27 ng/L
S100A2	S100 calcium binding protein A2	27 ng/L
ATAD3A	ATPase family AAA domain containing 3A	27 ng/L
TOMM34	Translocase of outer mitochondrial membrane 34	26 ng/L
CST7	Cystatin F	26 ng/L
CD200	CD200 molecule	26 ng/L
ACOT7	Acyl-CoA thioesterase 7	26 ng/L
HNRNPUL1	Heterogeneous nuclear ribonucleoprotein U like 1	26 ng/L
CDK6	Cyclin dependent kinase 6	26 ng/L
PSMD14	Proteasome 26S subunit, non-ATPase 14	26 ng/L
SRM	Spermidine synthase	26 ng/L
ATP6V1F	ATPase H+ transporting V1 subunit F	26 ng/L
SMC2	Structural maintenance of chromosomes 2	26 ng/L
TMX1	Thioredoxin related transmembrane protein 1	26 ng/L
NOL3	Nucleolar protein 3	26 ng/L
MINK1	Misshapen like kinase 1	26 ng/L
PBXIP1	PBX homeobox interacting protein 1	26 ng/L
PPM1L	Protein phosphatase, Mg2+/Mn2+ dependent 1L	26 ng/L
LRRC57	Leucine rich repeat containing 57	26 ng/L
PTTG1IP	PTTG1 interacting protein	26 ng/L
BAG6	BAG cochaperone 6	26 ng/L
RECQL	RecQ like helicase	25 ng/L
BCAT2	Branched chain amino acid transaminase 2	25 ng/L
SLC25A11	Solute carrier family 25 member 11	25 ng/L
SMC4	Structural maintenance of chromosomes 4	25 ng/L
NEU2	Neuraminidase 2	25 ng/L
NDUFA8	NADH:ubiquinone oxidoreductase subunit A8	25 ng/L
